# time uid fid rate_pps threshold_pps action
0.510800 0 1 0.000 50.000 PASS
0.670800 1 1 6.250 50.000 PASS
0.830800 2 1 6.250 50.000 PASS
0.990800 3 1 6.250 50.000 PASS
1.150800 4 1 6.250 50.000 PASS
1.310800 5 1 6.250 50.000 PASS
1.470800 6 1 6.250 50.000 PASS
1.630800 7 1 0.000 2.500 PASS
1.790800 8 1 6.250 2.500 DROP
1.950800 9 1 6.250 2.500 DROP
2.110800 10 1 6.250 2.500 DROP
2.270800 11 1 6.250 2.500 DROP
2.430800 12 1 6.250 2.500 DROP
2.590800 13 1 6.250 2.500 DROP
2.750800 14 1 0.000 4.500 PASS
2.910800 15 1 6.250 4.500 DROP
3.070800 16 1 6.250 4.500 DROP
3.230800 17 1 6.250 4.500 DROP
3.390800 18 1 6.250 4.500 DROP
3.550800 19 1 6.250 4.500 DROP
3.710800 20 1 6.250 4.500 DROP
3.870800 21 1 0.000 6.100 PASS
4.030800 22 1 6.250 6.100 DROP
4.190800 23 1 6.250 6.100 DROP
4.350800 24 1 6.250 6.100 DROP
4.510800 25 1 6.250 6.100 DROP
4.670800 26 1 6.250 6.100 DROP
4.830800 27 1 6.250 6.100 DROP
4.990800 28 1 0.000 7.380 PASS
5.150800 29 1 6.250 7.380 PASS
5.310800 30 1 6.250 7.380 PASS
5.470800 31 1 6.250 7.380 PASS
5.630800 32 1 6.250 7.380 PASS
5.790800 33 1 6.250 7.380 PASS
5.950800 34 1 6.250 7.380 PASS
6.110800 35 1 0.000 8.404 PASS
6.270800 36 1 6.250 8.404 PASS
6.430800 37 1 6.250 8.404 PASS
6.590800 38 1 6.250 8.404 PASS
6.750800 39 1 6.250 8.404 PASS
6.910800 40 1 6.250 8.404 PASS
7.070800 41 1 6.250 8.404 PASS
7.230800 42 1 0.000 9.223 PASS
7.390800 43 1 6.250 9.223 PASS
7.550800 44 1 6.250 9.223 PASS
7.710800 45 1 6.250 9.223 PASS
7.870800 46 1 6.250 9.223 PASS
8.030800 47 1 6.250 9.223 PASS
8.190800 48 1 6.250 9.223 PASS
8.350800 49 1 0.000 9.879 PASS
8.510800 50 1 6.250 9.879 PASS
8.670800 51 1 6.250 9.879 PASS
8.830800 52 1 6.250 9.879 PASS
8.990800 53 1 6.250 9.879 PASS
9.150800 54 1 6.250 9.879 PASS
9.310800 55 1 6.250 9.879 PASS
9.470800 56 1 0.000 10.403 PASS
9.630800 57 1 6.250 10.403 PASS
9.790800 58 1 6.250 10.403 PASS
9.950800 59 1 6.250 10.403 PASS
10.110800 60 1 6.250 10.403 PASS
10.270800 61 1 6.250 10.403 PASS
10.430800 62 1 6.250 10.403 PASS
10.590800 63 1 0.000 10.822 PASS
10.750800 64 1 6.250 10.822 PASS
10.910800 65 1 6.250 10.822 PASS
11.070800 66 1 6.250 10.822 PASS
11.230800 67 1 6.250 10.822 PASS
11.390800 68 1 6.250 10.822 PASS
11.550800 69 1 6.250 10.822 PASS
11.710800 70 1 0.000 11.158 PASS
11.870800 71 1 6.250 11.158 PASS
12.030800 72 1 6.250 11.158 PASS
12.190800 73 1 6.250 11.158 PASS
12.350800 74 1 6.250 11.158 PASS
12.510800 75 1 6.250 11.158 PASS
12.670800 76 1 6.250 11.158 PASS
12.830800 77 1 0.000 11.426 PASS
12.990800 78 1 6.250 11.426 PASS
13.150800 79 1 6.250 11.426 PASS
13.310800 80 1 6.250 11.426 PASS
13.470800 81 1 6.250 11.426 PASS
13.630800 82 1 6.250 11.426 PASS
13.790800 83 1 6.250 11.426 PASS
13.950800 84 1 0.000 11.641 PASS
14.110800 85 1 6.250 11.641 PASS
14.270800 86 1 6.250 11.641 PASS
14.430800 87 1 6.250 11.641 PASS
14.590800 88 1 6.250 11.641 PASS
14.750800 89 1 6.250 11.641 PASS
14.910800 90 1 6.250 11.641 PASS
15.070800 91 1 0.000 11.813 PASS
15.230800 92 1 6.250 11.813 PASS
15.390800 93 1 6.250 11.813 PASS
15.550800 94 1 6.250 11.813 PASS
15.710800 95 1 6.250 11.813 PASS
15.870800 96 1 6.250 11.813 PASS
16.030800 97 1 6.250 11.813 PASS
16.190800 98 1 0.000 11.950 PASS
16.350800 99 1 6.250 11.950 PASS
16.510800 100 1 6.250 11.950 PASS
16.670800 101 1 6.250 11.950 PASS
16.830800 102 1 6.250 11.950 PASS
16.990800 103 1 6.250 11.950 PASS
17.150800 104 1 6.250 11.950 PASS
17.310800 105 1 0.000 12.060 PASS
17.470800 106 1 6.250 12.060 PASS
17.630800 107 1 6.250 12.060 PASS
17.790800 108 1 6.250 12.060 PASS
17.950800 109 1 6.250 12.060 PASS
18.110800 110 1 6.250 12.060 PASS
18.270800 111 1 6.250 12.060 PASS
18.430800 112 1 0.000 12.148 PASS
18.590800 113 1 6.250 12.148 PASS
18.750800 114 1 6.250 12.148 PASS
