# time uid fid rate_pps threshold_pps action
0.510800 0 1 0.000 50.000 PASS
0.670800 1 1 6.250 50.000 PASS
0.830800 2 1 6.250 50.000 PASS
0.990800 3 1 6.250 50.000 PASS
1.150800 4 1 6.250 50.000 PASS
1.310800 5 1 6.250 50.000 PASS
1.470800 6 1 6.250 50.000 PASS
1.630800 7 1 0.000 2.500 PASS
1.790800 8 1 6.250 2.500 DROP
1.950800 9 1 6.250 2.500 DROP
2.110800 10 1 6.250 2.500 DROP
2.270800 11 1 6.250 2.500 DROP
2.430800 12 1 6.250 2.500 DROP
2.590800 13 1 6.250 2.500 DROP
2.750800 14 1 0.000 4.500 PASS
2.910800 15 1 6.250 4.500 DROP
3.070800 16 1 6.250 4.500 DROP
3.230800 17 1 6.250 4.500 DROP
3.390800 18 1 6.250 4.500 DROP
3.550800 19 1 6.250 4.500 DROP
3.710800 20 1 6.250 4.500 DROP
3.870800 21 1 0.000 6.100 PASS
4.030800 22 1 6.250 6.100 DROP
4.190800 23 1 6.250 6.100 DROP
4.350800 24 1 6.250 6.100 DROP
4.510800 25 1 6.250 6.100 DROP
4.670800 26 1 6.250 6.100 DROP
4.830800 27 1 6.250 6.100 DROP
4.990800 28 1 0.000 7.380 PASS
5.150800 29 1 6.250 7.380 PASS
5.310800 30 1 6.250 7.380 PASS
5.470800 31 1 6.250 7.380 PASS
5.630800 32 1 6.250 7.380 PASS
5.790800 33 1 6.250 7.380 PASS
5.950800 34 1 6.250 7.380 PASS
6.110800 35 1 0.000 8.404 PASS
6.270800 36 1 6.250 8.404 PASS
6.430800 37 1 6.250 8.404 PASS
6.590800 38 1 6.250 8.404 PASS
6.750800 39 1 6.250 8.404 PASS
6.910800 40 1 6.250 8.404 PASS
7.070800 41 1 6.250 8.404 PASS
7.230800 42 1 0.000 9.223 PASS
7.390800 43 1 6.250 9.223 PASS
7.550800 44 1 6.250 9.223 PASS
7.710800 45 1 6.250 9.223 PASS
7.870800 46 1 6.250 9.223 PASS
8.030800 47 1 6.250 9.223 PASS
8.190800 48 1 6.250 9.223 PASS
8.350800 49 1 0.000 9.879 PASS
8.510800 50 1 6.250 9.879 PASS
8.670800 51 1 6.250 9.879 PASS
8.830800 52 1 6.250 9.879 PASS
8.990800 53 1 6.250 9.879 PASS
9.150800 54 1 6.250 9.879 PASS
9.310800 55 1 6.250 9.879 PASS
9.470800 56 1 0.000 10.403 PASS
9.630800 57 1 6.250 10.403 PASS
9.790800 58 1 6.250 10.403 PASS
9.950800 59 1 6.250 10.403 PASS
10.010410 60 2 7.413 10.403 PASS
10.011410 61 2 9.249 10.403 PASS
10.012410 62 2 11.078 10.403 DROP
10.013410 63 2 12.901 10.403 DROP
10.014410 64 2 14.716 10.403 DROP
10.015410 65 2 16.526 10.403 DROP
10.016410 66 2 18.328 10.403 DROP
10.017410 67 2 20.124 10.403 DROP
10.018410 68 2 21.913 10.403 DROP
10.019410 69 2 23.696 10.403 DROP
10.020410 70 2 25.473 10.403 DROP
10.021410 71 2 27.243 10.403 DROP
10.022410 72 2 29.006 10.403 DROP
10.023410 73 2 30.763 10.403 DROP
10.024410 74 2 32.514 10.403 DROP
10.025410 75 2 34.258 10.403 DROP
10.026410 76 2 35.996 10.403 DROP
10.027410 77 2 37.728 10.403 DROP
10.028410 78 2 39.454 10.403 DROP
10.029410 79 2 41.174 10.403 DROP
10.030410 80 2 42.887 10.403 DROP
10.031410 81 2 44.594 10.403 DROP
10.032410 82 2 46.296 10.403 DROP
10.033410 83 2 47.991 10.403 DROP
10.034410 84 2 49.680 10.403 DROP
10.035410 85 2 51.363 10.403 DROP
10.036410 86 2 53.040 10.403 DROP
10.037410 87 2 54.711 10.403 DROP
10.038410 88 2 56.377 10.403 DROP
10.039410 89 2 58.036 10.403 DROP
10.040410 90 2 59.690 10.403 DROP
10.041410 91 2 61.338 10.403 DROP
10.042410 92 2 62.980 10.403 DROP
10.043410 93 2 64.616 10.403 DROP
10.044410 94 2 66.247 10.403 DROP
10.045410 95 2 67.872 10.403 DROP
10.046410 96 2 69.492 10.403 DROP
10.047410 97 2 71.105 10.403 DROP
10.048410 98 2 72.713 10.403 DROP
10.049410 99 2 74.316 10.403 DROP
10.050410 100 2 75.913 10.403 DROP
10.051410 101 2 77.505 10.403 DROP
10.052410 102 2 79.091 10.403 DROP
10.053410 103 2 80.672 10.403 DROP
10.054410 104 2 82.247 10.403 DROP
10.055410 105 2 83.817 10.403 DROP
10.056410 106 2 85.381 10.403 DROP
10.057410 107 2 86.940 10.403 DROP
10.058410 108 2 88.494 10.403 DROP
10.059410 109 2 90.043 10.403 DROP
10.060410 110 2 91.586 10.403 DROP
10.061410 111 2 93.124 10.403 DROP
10.062410 112 2 94.657 10.403 DROP
10.063410 113 2 96.185 10.403 DROP
10.064410 114 2 97.707 10.403 DROP
